#file time_0 time_1 time_2 time_3 time_4 time_5 time_6 time_7 time_8 time_9 time_10 time_11 time_12 time_13 time_14 time_15 time_16 time_17 time_18 time_19 time_20 time_21 time_22 time_23 time_24 
geo020s08a0006v01 -0.0010 -0.0030 -0.0048 -0.0072 -0.0068 -0.0081 -0.0070 -0.0047 -0.0003 0.0028 0.0043 0.0051 0.0076 0.0104 0.0111 0.0103 0.0069 -0.0044 -0.0217 -0.0178 0.0009 0.0132 0.0081 0.0028 -0.0050 
geo020s08a0006v02 0.0088 0.0166 0.0203 0.0126 0.0064 -0.0009 -0.0059 -0.0117 -0.0097 -0.0090 -0.0040 0.0006 0.0045 0.0062 0.0047 0.0015 -0.0008 -0.0015 -0.0049 -0.0028 -0.0039 0.0034 0.0071 0.0114 0.0107 
geo020s08a0007v01 0.0587 0.0167 0.0058 0.0388 0.0341 -0.0002 -0.0118 -0.0386 -0.0243 -0.0103 -0.0097 -0.0290 -0.0382 -0.0413 -0.0477 -0.0466 -0.0418 -0.0343 -0.0230 -0.0084 0.0056 0.0115 0.0094 0.0113 0.0134 
geo020s08a0007v02 0.0196 0.0253 0.0101 0.0023 -0.0055 -0.0109 -0.0100 0.0030 0.0023 -0.0013 -0.0080 -0.0108 -0.0051 -0.0054 -0.0117 -0.0048 -0.0028 -0.0012 -0.0075 -0.0047 0.0111 0.0237 0.0307 0.0274 0.0186 
geo020s08a0008v01 -0.0090 0.0137 0.0368 0.0450 0.0270 0.0208 -0.0010 -0.0287 -0.0343 -0.0313 -0.0174 -0.0022 0.0088 0.0088 0.0076 0.0114 0.0144 0.0136 0.0107 0.0030 -0.0023 -0.0032 -0.0046 -0.0068 -0.0081 
geo020s08a0008v02 0.0004 0.0183 0.0230 0.0180 0.0076 -0.0007 -0.0053 -0.0033 0.0016 0.0051 0.0050 -0.0007 -0.0028 0.0021 0.0133 0.0206 0.0207 0.0122 -0.0001 -0.0151 -0.0211 -0.0176 -0.0109 -0.0043 -0.0031 
geo020s08a0009v01 0.0313 0.0139 -0.0070 -0.0231 -0.0320 -0.0303 -0.0230 -0.0099 0.0023 0.0114 0.0139 0.0095 0.0065 -0.0042 0.0035 0.0067 0.0086 0.0057 0.0029 0.0030 0.0029 0.0011 -0.0004 0.0002 0.0039 
geo020s08a0011v01 0.0034 0.0002 -0.0016 -0.0067 -0.0106 -0.0069 -0.0061 -0.0041 -0.0010 0.0082 0.0113 0.0089 0.0078 0.0036 -0.0018 0.0119 0.0140 0.0096 -0.0039 -0.0268 -0.0338 -0.0131 0.0149 0.0227 0.0128 
geo020s08a0011v02 -0.0119 -0.0205 -0.0235 -0.0212 -0.0147 -0.0018 0.0105 0.0172 0.0153 0.0086 -0.0001 -0.0065 -0.0126 -0.0176 -0.0144 -0.0123 -0.0034 0.0016 0.0054 0.0068 0.0101 0.0084 0.0089 0.0072 0.0005 
geo020s08a0012v01 0.0233 0.0076 -0.0076 -0.0149 -0.0113 -0.0020 0.0059 0.0062 0.0027 -0.0011 -0.0019 0.0001 -0.0004 -0.0032 -0.0068 -0.0085 -0.0057 -0.0021 0.0061 0.0092 0.0092 0.0093 0.0123 0.0114 0.0069 
geo020s08a0012v02 0.0043 0.0038 0.0037 0.0003 -0.0020 -0.0023 -0.0030 -0.0024 -0.0005 0.0030 0.0032 0.0029 -0.0006 -0.0180 -0.0267 -0.0072 0.0189 0.0169 0.0053 -0.0077 -0.0142 -0.0130 -0.0051 0.0015 0.0089 
geo020s08a0013v01 -0.0533 -0.0240 -0.0287 -0.0242 -0.0258 -0.0195 -0.0060 0.0042 0.0013 -0.0025 -0.0149 -0.0208 -0.0205 -0.0117 0.0036 0.0185 0.0287 0.0347 0.0341 0.0238 0.0015 -0.0039 -0.0146 0.0017 0.0202 
geo020s08a0013v02 -0.0020 -0.0083 -0.0149 -0.0189 -0.0129 -0.0041 0.0041 0.0079 0.0030 0.0016 0.0017 0.0031 0.0058 0.0067 0.0087 0.0106 0.0076 0.0048 0.0002 -0.0037 -0.0028 -0.0028 -0.0052 -0.0079 -0.0081 
geo020s08a0014v01 -0.0072 -0.0184 -0.0245 -0.0186 -0.0059 0.0134 0.0251 0.0232 0.0011 -0.0150 -0.0324 -0.0408 -0.0263 0.0110 0.0415 0.0540 0.0345 0.0123 -0.0060 -0.0099 -0.0174 -0.0189 -0.0098 -0.0001 0.0062 
geo020s08a0014v02 -0.0131 -0.0105 0.0014 0.0129 0.0153 0.0103 0.0023 -0.0049 -0.0047 -0.0023 0.0012 0.0049 0.0077 0.0084 0.0048 0.0019 0.0013 -0.0005 -0.00008 -0.0019 -0.0060 -0.0063 -0.0030 -0.0064 -0.0081 
geo020s08a0015v02 0.0122 0.0167 0.0113 0.0044 -0.0002 -0.0038 -0.0056 -0.0070 -0.0045 0.0015 0.0028 0.0030 0.0038 0.0019 -0.0012 -0.0024 -0.0035 -0.0061 -0.0087 -0.0035 0.0028 0.0107 0.0130 0.0115 0.0078 
geo020s08a0016v01 0.0033 -0.0176 -0.0277 -0.0293 -0.0276 -0.0269 -0.0290 -0.0370 -0.0325 -0.0212 -0.0083 0.0069 0.0215 0.0263 0.0213 0.0131 0.0060 0.0037 -0.0027 -0.0055 -0.0089 -0.0178 -0.0295 -0.0332 -0.0382 
